행정동,유동인구
신흥1동,"33,590"
신흥2동,"41,050"
신흥3동,"31,173"
태평1동,"72,237"
태평2동,"27,008"
태평3동,"30,162"
태평4동,"16,384"
수진1동,"22,189"
수진2동,"62,215"
단대동,"29,701"
산성동,"20,320"
양지동,"17,895"
복정동,"159,926"
위례동,"252,479"
신촌동,"21,795"
고등동,"162,180"
시흥동,"206,245"
성남동,"194,983"
중앙동,"19,079"
금광1동,"24,227"
금광2동,"37,992"
은행1동,"2,942"
은행2동,"20,552"
상대원1동,"98,712"
상대원2동,"15,561"
상대원3동,"8,300"
하대원동,"46,658"
도촌동,"163,284"
분당동,"58,644"
수내1동,"184,444"
수내2동,"25,782"
수내3동,"28,252"
정자동,"76,366"
정자1동,"267,125"
정자2동,"8,312"
정자3동,"21,069"
서현1동,"331,935"
서현2동,"58,980"
이매1동,"49,262"
이매2동,"31,290"
야탑1동,"252,688"
야탑2동,"29,720"
야탑3동,"40,221"
판교동,"172,813"
삼평동,"337,328"
백현동,"190,114"
금곡동,"185,121"
구미1동,"120,027"
구미동,"177,083"
운중동,"186,415"
