구청명,동 명,법 정(개),행 정(개),면적(제곱킬로미터),통수(개),반수(개),비고(관할 법정동)
수정구,신흥1동,1,1,0.32,23,121,신흥동
수정구,신흥2동,0,1,1.14,34,227,신흥동
수정구,신흥3동,0,1,0.33,16,79,신흥동
수정구,태평1동,1,1,1.34,21,124,태평동
수정구,태평2동,0,1,0.49,23,131,태평동
수정구,태평3동,0,1,0.37,20,134,태평동
수정구,태평4동,0,1,0.4,20,119,태평동
수정구,수진1동,1,1,0.33,22,129,수진동
수정구,수진2동,0,1,0.93,23,141,수진동
수정구,단대동,1,1,0.8,22,115,단대동
수정구,산성동,1,1,0.58,19,118,산성동
수정구,양지동,1,1,1.26,10,62,양지동
수정구,복정동,1,1,3.55,16,98,복정동
수정구,위례동,1,1,3.19,47,345,창곡동
수정구,신촌동,3,1,5.02,6,38,신촌동+오야동+심곡동
수정구,고등동,3,1,12.44,16,90,고등동+상적동+둔전동
수정구,시흥동,3,1,12.96,10,28,시흥동+금토동+사송동
중원구,성남동,1,1,1.99,37,226,성남동
중원구,중앙동,1,1,0.68,31,179,중앙동
중원구,금광1동,1,1,0.68,22,145,금광동
중원구,금광2동,0,1,1.03,31,199,금광동
중원구,은행1동,1,1,0.22,14,88,은행동
중원구,은행2동,0,1,2.46,34,190,은행동
중원구,상대원1동,1,1,6.84,35,204,상대원동
중원구,상대원2동,0,1,0.42,22,137,상대원동
중원구,상대원3동,0,1,0.36,19,117,상대원동
중원구,하대원동,1,1,2.34,23,143,하대원동
중원구,도촌동,3,1,9.39,32,170,여수동+도촌동+갈현동
분당구,분당동,1,1,3.4,39,212,분당동
분당구,수내1동,1,1,1.03,33,197,수내동
분당구,수내2동,0,1,0.81,16,92,수내동
분당구,수내3동,0,1,1.05,18,123,수내동
분당구,정자동,1,1,1,32,182,정자동
분당구,정자1동,0,1,1.45,34,211,정자동
분당구,정자2동,0,1,0.54,36,214,정자동
분당구,정자3동,0,1,1.92,27,157,정자동
분당구,서현1동,2,1,7.48,38,282,서현동+율동
분당구,서현2동,0,1,0.79,26,161,서현동
분당구,이매1동,1,1,2.84,32,218,이매동
분당구,이매2동,0,1,0.68,22,121,이매동
분당구,야탑1동,1,1,1.14,28,189,야탑동
분당구,야탑2동,0,1,0.64,23,164,야탑동
분당구,야탑3동,0,1,5.07,52,297,야탑동
분당구,금곡동,2,1,5.76,60,346,금곡동+궁내동
분당구,구미동,1,1,4.51,52,309,구미동
분당구,구미1동,1,1,2.78,35,227,동원동+구미동
분당구,판교동,1,1,4.53,29,151,판교동
분당구,삼평동,1,1,2.8,27,149,삼평동
분당구,백현동,1,1,1.98,33,214,백현동
분당구,운중동,4,1,17.57,41,208,운중동+대장동+석운동+하산운동
