scenario_id,위례동,운중동,신흥2동,성남동,금곡동,정자1동,상대원1동,금광2동,야탑3동,판교동
BASE,1,2,3,4,5,6,7,8,9,10
공시지가_+10%,1,2,3,4,5,6,7,8,9,10
공시지가_+20%,1,2,3,4,5,6,7,8,9,10
공시지가_-10%,1,2,3,4,5,6,7,8,9,10
공시지가_-20%,1,2,3,5,4,6,7,8,9,10
교통편의도_+10%,1,2,3,4,5,6,7,8,9,10
교통편의도_+20%,1,2,3,4,5,6,7,9,8,12
교통편의도_-10%,1,2,3,4,5,6,7,8,9,10
교통편의도_-20%,1,2,3,4,5,6,8,7,9,10
놀이터개수_+10%,1,2,3,4,5,6,7,8,9,10
놀이터개수_+20%,1,2,3,4,5,6,7,8,9,10
놀이터개수_-10%,1,2,3,4,5,6,7,9,8,10
놀이터개수_-20%,1,2,3,4,5,6,8,9,7,11
상권활성도_+10%,1,2,3,5,4,6,7,8,9,10
상권활성도_+20%,1,2,3,5,4,6,7,8,9,10
상권활성도_-10%,1,2,3,4,5,6,7,8,9,11
상권활성도_-20%,1,2,3,4,5,6,7,8,9,11
유동인구_+10%,1,2,3,4,5,6,7,8,9,11
유동인구_+20%,1,2,3,4,5,6,7,8,9,11
유동인구_-10%,1,2,3,4,5,6,7,8,9,10
유동인구_-20%,1,2,3,4,5,6,7,8,9,10
인구수_+10%,1,2,3,4,5,6,7,9,8,10
인구수_+20%,1,2,3,4,5,6,8,9,7,11
인구수_-10%,1,2,3,5,4,6,7,8,9,10
인구수_-20%,1,3,2,5,4,6,7,8,9,11
